"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2014",47638.633438,
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50262.606439,
"AUS","GDP","TOT","USD_CAP","A","2017",51993.845657,
"AUS","GDP","TOT","USD_CAP","A","2018",54144.177019,"E"
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49953.900584,
"AUT","GDP","TOT","USD_CAP","A","2016",51636.986695,
"AUT","GDP","TOT","USD_CAP","A","2017",53894.548963,
"AUT","GDP","TOT","USD_CAP","A","2018",55528.86995,
"BEL","GDP","TOT","USD_CAP","A","2014",44720.458061,
"BEL","GDP","TOT","USD_CAP","A","2015",45739.214797,
"BEL","GDP","TOT","USD_CAP","A","2016",47366.400094,
"BEL","GDP","TOT","USD_CAP","A","2017",49525.734095,
"BEL","GDP","TOT","USD_CAP","A","2018",50442.053381,
"CAN","GDP","TOT","USD_CAP","A","2014",45627.577143,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.364618,
"CAN","GDP","TOT","USD_CAP","A","2016",45109.47982,
"CAN","GDP","TOT","USD_CAP","A","2017",46810.319383,
"CAN","GDP","TOT","USD_CAP","A","2018",48106.911763,
"CZE","GDP","TOT","USD_CAP","A","2014",32265.045158,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35234.017075,
"CZE","GDP","TOT","USD_CAP","A","2017",38037.214886,
"CZE","GDP","TOT","USD_CAP","A","2018",39740.849024,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477296,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.299718,
"DNK","GDP","TOT","USD_CAP","A","2016",50685.430829,
"DNK","GDP","TOT","USD_CAP","A","2017",54337.412043,
"DNK","GDP","TOT","USD_CAP","A","2018",55137.815103,
"FIN","GDP","TOT","USD_CAP","A","2014",41462.716744,
"FIN","GDP","TOT","USD_CAP","A","2015",42213.488867,
"FIN","GDP","TOT","USD_CAP","A","2016",43729.994198,
"FIN","GDP","TOT","USD_CAP","A","2017",46349.07287,
"FIN","GDP","TOT","USD_CAP","A","2018",47946.243658,
"FRA","GDP","TOT","USD_CAP","A","2014",40144.059485,
"FRA","GDP","TOT","USD_CAP","A","2015",40840.848298,
"FRA","GDP","TOT","USD_CAP","A","2016",42067.267459,
"FRA","GDP","TOT","USD_CAP","A","2017",44125.387538,"P"
"FRA","GDP","TOT","USD_CAP","A","2018",45149.096054,"P"
"DEU","GDP","TOT","USD_CAP","A","2014",47190.49763,
"DEU","GDP","TOT","USD_CAP","A","2015",47979.241412,
"DEU","GDP","TOT","USD_CAP","A","2016",49921.108137,
"DEU","GDP","TOT","USD_CAP","A","2017",52574.259594,
"DEU","GDP","TOT","USD_CAP","A","2018",53749.441164,
"GRC","GDP","TOT","USD_CAP","A","2014",26838.582268,"P"
"GRC","GDP","TOT","USD_CAP","A","2015",26902.327613,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27273.87303,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",28579.715733,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29592.438388,"P"
"HUN","GDP","TOT","USD_CAP","A","2014",25518.226039,
"HUN","GDP","TOT","USD_CAP","A","2015",26356.313717,
"HUN","GDP","TOT","USD_CAP","A","2016",26851.624935,
"HUN","GDP","TOT","USD_CAP","A","2017",28798.642515,
"HUN","GDP","TOT","USD_CAP","A","2018",30651.808862,"P"
"ISL","GDP","TOT","USD_CAP","A","2014",45712.837676,
"ISL","GDP","TOT","USD_CAP","A","2015",48856.560901,
"ISL","GDP","TOT","USD_CAP","A","2016",52340.490639,
"ISL","GDP","TOT","USD_CAP","A","2017",55330.091865,
"ISL","GDP","TOT","USD_CAP","A","2018",57453.367882,
"IRL","GDP","TOT","USD_CAP","A","2014",51125.923299,
"IRL","GDP","TOT","USD_CAP","A","2015",69147.029059,
"IRL","GDP","TOT","USD_CAP","A","2016",70616.428356,
"IRL","GDP","TOT","USD_CAP","A","2017",77679.028493,
"IRL","GDP","TOT","USD_CAP","A","2018",83081.132162,
"ITA","GDP","TOT","USD_CAP","A","2014",36070.848203,
"ITA","GDP","TOT","USD_CAP","A","2015",36836.394875,
"ITA","GDP","TOT","USD_CAP","A","2016",39045.171474,
"ITA","GDP","TOT","USD_CAP","A","2017",40981.300535,
"ITA","GDP","TOT","USD_CAP","A","2018",41626.025028,
"JPN","GDP","TOT","USD_CAP","A","2014",39183.465681,
"JPN","GDP","TOT","USD_CAP","A","2015",40406.095333,
"JPN","GDP","TOT","USD_CAP","A","2016",41138.003461,
"JPN","GDP","TOT","USD_CAP","A","2017",41985.386939,
"JPN","GDP","TOT","USD_CAP","A","2018",42823.090453,"E"
"KOR","GDP","TOT","USD_CAP","A","2014",33587.357693,
"KOR","GDP","TOT","USD_CAP","A","2015",35760.697299,
"KOR","GDP","TOT","USD_CAP","A","2016",37142.620555,
"KOR","GDP","TOT","USD_CAP","A","2017",38839.360233,"P"
"KOR","GDP","TOT","USD_CAP","A","2018",40096.441649,"E"
"LUX","GDP","TOT","USD_CAP","A","2014",100933.604548,
"LUX","GDP","TOT","USD_CAP","A","2015",102817.285634,
"LUX","GDP","TOT","USD_CAP","A","2016",104702.347523,
"LUX","GDP","TOT","USD_CAP","A","2017",107525.195588,
"LUX","GDP","TOT","USD_CAP","A","2018",110906.3924,
"MEX","GDP","TOT","USD_CAP","A","2014",18167.517949,
"MEX","GDP","TOT","USD_CAP","A","2015",18438.044081,
"MEX","GDP","TOT","USD_CAP","A","2016",18968.923105,"P"
"MEX","GDP","TOT","USD_CAP","A","2017",19654.840409,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20144.745005,"E"
"NLD","GDP","TOT","USD_CAP","A","2014",49233.230349,
"NLD","GDP","TOT","USD_CAP","A","2015",50301.845624,
"NLD","GDP","TOT","USD_CAP","A","2016",51339.511031,
"NLD","GDP","TOT","USD_CAP","A","2017",54504.011325,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",56325.699457,"P"
"NZL","GDP","TOT","USD_CAP","A","2014",37060.926566,
"NZL","GDP","TOT","USD_CAP","A","2015",37158.228941,
"NZL","GDP","TOT","USD_CAP","A","2016",38783.732648,
"NZL","GDP","TOT","USD_CAP","A","2017",40120.546211,"E"
"NZL","GDP","TOT","USD_CAP","A","2018",40713.122221,"E"
"NOR","GDP","TOT","USD_CAP","A","2014",66018.42418,
"NOR","GDP","TOT","USD_CAP","A","2015",60492.073092,
"NOR","GDP","TOT","USD_CAP","A","2016",58121.992256,
"NOR","GDP","TOT","USD_CAP","A","2017",62182.466789,
"NOR","GDP","TOT","USD_CAP","A","2018",65602.902893,
"POL","GDP","TOT","USD_CAP","A","2014",25297.950445,
"POL","GDP","TOT","USD_CAP","A","2015",26528.815751,
"POL","GDP","TOT","USD_CAP","A","2016",27405.564854,
"POL","GDP","TOT","USD_CAP","A","2017",29582.639838,
"POL","GDP","TOT","USD_CAP","A","2018",30988.486785,
"PRT","GDP","TOT","USD_CAP","A","2014",28746.525806,
"PRT","GDP","TOT","USD_CAP","A","2015",29684.636594,
"PRT","GDP","TOT","USD_CAP","A","2016",31041.873367,
"PRT","GDP","TOT","USD_CAP","A","2017",32554.275582,"P"
"PRT","GDP","TOT","USD_CAP","A","2018",33034.625765,"E"
"SVK","GDP","TOT","USD_CAP","A","2014",28928.17644,
"SVK","GDP","TOT","USD_CAP","A","2015",29699.535053,
"SVK","GDP","TOT","USD_CAP","A","2016",30895.954207,
"SVK","GDP","TOT","USD_CAP","A","2017",32376.225271,
"SVK","GDP","TOT","USD_CAP","A","2018",33923.457111,
"ESP","GDP","TOT","USD_CAP","A","2014",33728.362719,
"ESP","GDP","TOT","USD_CAP","A","2015",35054.493294,
"ESP","GDP","TOT","USD_CAP","A","2016",36742.506097,"P"
"ESP","GDP","TOT","USD_CAP","A","2017",39087.059927,"P"
"ESP","GDP","TOT","USD_CAP","A","2018",39907.563338,"P"
"SWE","GDP","TOT","USD_CAP","A","2014",46572.505607,
"SWE","GDP","TOT","USD_CAP","A","2015",48436.904818,
"SWE","GDP","TOT","USD_CAP","A","2016",49083.989701,
"SWE","GDP","TOT","USD_CAP","A","2017",51404.774003,
"SWE","GDP","TOT","USD_CAP","A","2018",52766.471992,
"CHE","GDP","TOT","USD_CAP","A","2014",61902.16174,
"CHE","GDP","TOT","USD_CAP","A","2015",63938.958241,
"CHE","GDP","TOT","USD_CAP","A","2016",64323.9387,
"CHE","GDP","TOT","USD_CAP","A","2017",66395.811195,"P"
"CHE","GDP","TOT","USD_CAP","A","2018",68078.668862,"P"
"TUR","GDP","TOT","USD_CAP","A","2014",23982.612542,
"TUR","GDP","TOT","USD_CAP","A","2015",25727.604649,
"TUR","GDP","TOT","USD_CAP","A","2016",26329.753362,
"TUR","GDP","TOT","USD_CAP","A","2017",28189.723251,
"TUR","GDP","TOT","USD_CAP","A","2018",28383.572048,
"GBR","GDP","TOT","USD_CAP","A","2014",40877.728499,
"GBR","GDP","TOT","USD_CAP","A","2015",42055.079927,
"GBR","GDP","TOT","USD_CAP","A","2016",42942.903859,
"GBR","GDP","TOT","USD_CAP","A","2017",44909.092275,
"GBR","GDP","TOT","USD_CAP","A","2018",45504.844246,
"USA","GDP","TOT","USD_CAP","A","2014",54952.478892,
"USA","GDP","TOT","USD_CAP","A","2015",56717.944249,
"USA","GDP","TOT","USD_CAP","A","2016",57821.718551,
"USA","GDP","TOT","USD_CAP","A","2017",59878.656249,
"USA","GDP","TOT","USD_CAP","A","2018",62742.286868,"E"
"CHL","GDP","TOT","USD_CAP","A","2014",22687.93302,
"CHL","GDP","TOT","USD_CAP","A","2015",22593.27296,
"CHL","GDP","TOT","USD_CAP","A","2016",22788.342414,
"CHL","GDP","TOT","USD_CAP","A","2017",24180.790551,
"CHL","GDP","TOT","USD_CAP","A","2018",25167.648316,"E"
"CHN","GDP","TOT","USD_CAP","A","2014",13349.524984,
"CHN","GDP","TOT","USD_CAP","A","2015",14350.358392,
"CHN","GDP","TOT","USD_CAP","A","2016",15411.798699,
"CHN","GDP","TOT","USD_CAP","A","2017",16633.148693,
"COL","GDP","TOT","USD_CAP","A","2014",13535.660577,
"COL","GDP","TOT","USD_CAP","A","2015",13928.048049,
"COL","GDP","TOT","USD_CAP","A","2016",14276.055705,
"COL","GDP","TOT","USD_CAP","A","2017",14607.026568,"P"
"EST","GDP","TOT","USD_CAP","A","2014",28936.529789,
"EST","GDP","TOT","USD_CAP","A","2015",29259.841707,
"EST","GDP","TOT","USD_CAP","A","2016",30894.950595,
"EST","GDP","TOT","USD_CAP","A","2017",33493.189903,
"EST","GDP","TOT","USD_CAP","A","2018",35498.182635,
"IND","GDP","TOT","USD_CAP","A","2014",5793.188071,
"IND","GDP","TOT","USD_CAP","A","2015",6254.551269,
"IND","GDP","TOT","USD_CAP","A","2016",6701.318431,
"IDN","GDP","TOT","USD_CAP","A","2014",10661.618751,
"IDN","GDP","TOT","USD_CAP","A","2015",11156.9,
"IDN","GDP","TOT","USD_CAP","A","2016",11714.411333,
"IDN","GDP","TOT","USD_CAP","A","2017",12380.691389,
"ISR","GDP","TOT","USD_CAP","A","2014",34228.148891,
"ISR","GDP","TOT","USD_CAP","A","2015",35449.501075,
"ISR","GDP","TOT","USD_CAP","A","2016",37474.713888,
"ISR","GDP","TOT","USD_CAP","A","2017",38882.063776,
"ISR","GDP","TOT","USD_CAP","A","2018",39931.753921,
"RUS","GDP","TOT","USD_CAP","A","2014",25797.499095,
"RUS","GDP","TOT","USD_CAP","A","2015",24101.149882,
"RUS","GDP","TOT","USD_CAP","A","2016",24080.519009,
"SVN","GDP","TOT","USD_CAP","A","2014",30847.290991,
"SVN","GDP","TOT","USD_CAP","A","2015",31649.042275,
"SVN","GDP","TOT","USD_CAP","A","2016",33190.576449,
"SVN","GDP","TOT","USD_CAP","A","2017",36163.356129,
"SVN","GDP","TOT","USD_CAP","A","2018",38134.485845,
"ZAF","GDP","TOT","USD_CAP","A","2014",13203.670608,
"ZAF","GDP","TOT","USD_CAP","A","2015",13305.656416,
"ZAF","GDP","TOT","USD_CAP","A","2016",13371.648463,
"ZAF","GDP","TOT","USD_CAP","A","2017",13549.829373,
"EU28","GDP","TOT","USD_CAP","A","2014",37526.709621,
"EU28","GDP","TOT","USD_CAP","A","2015",38667.64572,
"EU28","GDP","TOT","USD_CAP","A","2016",40153.560031,
"EU28","GDP","TOT","USD_CAP","A","2017",42458.196513,
"EU28","GDP","TOT","USD_CAP","A","2018",43561.186232,
"OECD","GDP","TOT","USD_CAP","A","2014",40166.212511,"P"
"OECD","GDP","TOT","USD_CAP","A","2015",41340.576625,"P"
"OECD","GDP","TOT","USD_CAP","A","2016",42450.280668,"P"
"OECD","GDP","TOT","USD_CAP","A","2017",44292.788805,"E"
"OECD","GDP","TOT","USD_CAP","A","2018",45728.968217,"E"
"OECDE","GDP","TOT","USD_CAP","A","2014",37302.555766,"P"
"OECDE","GDP","TOT","USD_CAP","A","2015",38486.036343,"P"
"OECDE","GDP","TOT","USD_CAP","A","2016",39767.782355,"P"
"OECDE","GDP","TOT","USD_CAP","A","2017",42013.155707,"P"
"OECDE","GDP","TOT","USD_CAP","A","2018",43007.013654,"E"
"LVA","GDP","TOT","USD_CAP","A","2014",23802.37063,
"LVA","GDP","TOT","USD_CAP","A","2015",24726.183359,
"LVA","GDP","TOT","USD_CAP","A","2016",25842.558023,
"LVA","GDP","TOT","USD_CAP","A","2017",28378.067363,
"LVA","GDP","TOT","USD_CAP","A","2018",30697.938789,
"BRA","GDP","TOT","USD_CAP","A","2014",16396.241834,
"BRA","GDP","TOT","USD_CAP","A","2015",15847.582563,
"BRA","GDP","TOT","USD_CAP","A","2016",15385.778312,
"BRA","GDP","TOT","USD_CAP","A","2017",15651.388542,"E"
"LTU","GDP","TOT","USD_CAP","A","2014",28174.261013,
"LTU","GDP","TOT","USD_CAP","A","2015",28910.313856,
"LTU","GDP","TOT","USD_CAP","A","2016",30299.959291,
"LTU","GDP","TOT","USD_CAP","A","2017",33324.958897,
"LTU","GDP","TOT","USD_CAP","A","2018",35210.051667,
"SAU","GDP","TOT","USD_CAP","A","2014",52628.245625,
"SAU","GDP","TOT","USD_CAP","A","2015",54013.880037,
"SAU","GDP","TOT","USD_CAP","A","2016",54378.699472,
"EA19","GDP","TOT","USD_CAP","A","2014",39977.598956,
"EA19","GDP","TOT","USD_CAP","A","2015",41073.35197,
"EA19","GDP","TOT","USD_CAP","A","2016",42723.885268,
"EA19","GDP","TOT","USD_CAP","A","2017",45052.594939,
"EA19","GDP","TOT","USD_CAP","A","2018",46144.793625,
"ARG","GDP","TOT","USD_CAP","A","2014",19946.90021,
"ARG","GDP","TOT","USD_CAP","A","2015",20491.803544,
"ARG","GDP","TOT","USD_CAP","A","2016",20257.764751,
"ARG","GDP","TOT","USD_CAP","A","2017",21064.180459,
"CRI","GDP","TOT","USD_CAP","A","2014",15098.949309,
"CRI","GDP","TOT","USD_CAP","A","2015",15623.777569,
"CRI","GDP","TOT","USD_CAP","A","2016",16332.4101,
"CRI","GDP","TOT","USD_CAP","A","2017",17088.759266,"E"
"BGR","GDP","TOT","USD_CAP","A","2014",17534.319526,
"BGR","GDP","TOT","USD_CAP","A","2015",18186.450576,
"BGR","GDP","TOT","USD_CAP","A","2016",19500.357176,
"BGR","GDP","TOT","USD_CAP","A","2017",20948.240107,
"BGR","GDP","TOT","USD_CAP","A","2018",21884.380498,"P"
"HRV","GDP","TOT","USD_CAP","A","2014",22089.24741,
"HRV","GDP","TOT","USD_CAP","A","2015",22984.157225,
"HRV","GDP","TOT","USD_CAP","A","2016",24535.693664,
"HRV","GDP","TOT","USD_CAP","A","2017",26261.743927,
"CYP","GDP","TOT","USD_CAP","A","2014",30390.460295,
"CYP","GDP","TOT","USD_CAP","A","2015",31578.312812,
"CYP","GDP","TOT","USD_CAP","A","2016",33682.424071,
"CYP","GDP","TOT","USD_CAP","A","2017",36155.67646,"P"
"CYP","GDP","TOT","USD_CAP","A","2018",37803.793873,"P"
"MLT","GDP","TOT","USD_CAP","A","2014",33366.32234,
"MLT","GDP","TOT","USD_CAP","A","2015",36171.79323,
"MLT","GDP","TOT","USD_CAP","A","2016",38321.425212,
"MLT","GDP","TOT","USD_CAP","A","2017",41466.381246,
"MLT","GDP","TOT","USD_CAP","A","2018",42710.098443,
"PER","GDP","TOT","USD_CAP","A","2014",12225.913761,"P"
"ROU","GDP","TOT","USD_CAP","A","2014",20615.540114,
"ROU","GDP","TOT","USD_CAP","A","2015",21627.160758,
"ROU","GDP","TOT","USD_CAP","A","2016",23863.058219,
"ROU","GDP","TOT","USD_CAP","A","2017",26589.932195,"P"
"ROU","GDP","TOT","USD_CAP","A","2018",28124.506457,"P"
"MKD","GDP","TOT","USD_CAP","A","2014",13434.782127,"E"
"MKD","GDP","TOT","USD_CAP","A","2015",13891.968422,"E"
"MKD","GDP","TOT","USD_CAP","A","2016",14872.346662,"E"
"ZMB","GDP","TOT","USD_CAP","A","2014",3826.164471,
"ZMB","GDP","TOT","USD_CAP","A","2015",3862.128452,
"ZMB","GDP","TOT","USD_CAP","A","2016",3937.429913,
"ZMB","GDP","TOT","USD_CAP","A","2017",4061.049167,
